###############################################################################
# EEPROM Parameters
###############################################################################
#Code_Version_MMDD                       , 0x0051, uint, hex, 16, 6, spr, spr, spr
#SW_Version                              , 0x0052, uint, hex, 16, 6, spr, spr, spr

###############################################################################
# Debug Parameters - not displayed on GUI
###############################################################################
IQ_Command                               , 0x006A, int, dec, 16, 6, spr, spr, spr
IQ_Feedback                              , 0x006B, int, dec, 16, 6, spr, spr, spr
IQ_Feedforward                           , 0x006C, int, dec, 16, 6, spr, spr, spr

ID_Command                               , 0x006E, int, dec, 16, 6, spr, spr, spr
ID_Feedback                              , 0x006F, int, dec, 16, 6, spr, spr, spr
ID_Feedforward                           , 0x0070, int, dec, 16, 6, spr, spr, spr

Modulation_Index                         , 0x0072, int, dec, 16, 6, spr, spr, spr

VQ_Command                               , 0x0076, int, dec, 16, 6, spr, spr, spr
VQ_Feedback                              , 0x0077, int, dec, 16, 6, spr, spr, spr
VQ_Feedforward                           , 0x0078, int, dec, 16, 6, spr, spr, spr

VD_Command                               , 0x0079, int, dec, 16, 6, spr, spr, spr
VD_Feedback                              , 0x007A, int, dec, 16, 6, spr, spr, spr
VD_Feedforward                           , 0x007B, int, dec, 16, 6, spr, spr, spr

Omega_Rotor                              , 0x007C, int, dec, 16, 6, spr, spr, spr
Omega                                    , 0x007D, int, dec, 16, 6, spr, spr, spr
Omega_slip_feedforward                   , 0x007E, int, dec, 16, 6, spr, spr, spr
PLL_frequency                            , 0x007F, int, dec, 16, 6, spr, spr, spr

Flux_Q_Rotor                             , 0x0080, int, dec, 16, 6, spr, spr, spr
Flux_D_Rotor                             , 0x0081, int, dec, 16, 6, spr, spr, spr
Flux_Q_Stator                            , 0x0082, int, dec, 16, 6, spr, spr, spr
Flux_D_Stator                            , 0x0083, int, dec, 16, 6, spr, spr, spr

Omega_test                               , 0x0084, uint, dec, 16, 6, spr, spr, spr

# Analog Input Raw ADC Values
AIN1_Counts                              , 0x004B, uint, dec, 16, 6, spr, spr, spr
AIN2_Counts                              , 0x0043, uint, dec, 16, 6, spr, spr, spr
AIN3_Counts                              , 0x004A, uint, dec, 16, 6, spr, spr, spr
AIN4_Counts                              , 0x0040, uint, dec, 16, 6, spr, spr, spr
AIN5_Counts                              , 0x0049, uint, dec, 16, 6, spr, spr, spr
AIN6_Counts                              , 0x0041, uint, dec, 16, 6, spr, spr, spr

###############################################################################
# GUI Command Parameters
###############################################################################
#Access_Code/Inverter_Status             , 0x0000, uint, ascii, 16, 6, spr, spr, spr

Last_Run_Fault                           , 0x005D, uint, hex, 16, 6, spr, spr, spr
Limit_Flags                              , 0x005C, uint, hex, 16, 6, spr, spr, spr

Run_Command(Trq=0_Spd=1)                 , 0x0003, uint, dec, 16, 6, spr, spr, spr
Veh_Flux_Command_(Wb)(x1000)             , 0x0004, uint, dec, 16, 6, 0x000A, spr, spr
#Resolver_Delay_Command                  , 0x0005, uint, dec, 16, 6, spr, spr, spr

Open_Loop_Command(0=OFF)                 , 0x0006, uint, dec, 16, 6, spr, spr, spr
